course_code,venue,confirmed_total,cancelled_total,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,strong_months,weak_months
ASKEPC,HOTEL,1,4,0/2,,,0/1,0/1,,,,1/0,,,,,Jan
ASKSPN,HOTEL,1,3,0/1,0/1,,,,,1/0,,,,,0/1,,
ASKMIE1,HOTEL,1,5,0/1,0/1,,0/1,,,0/1,,1/0,,0/1,,,
ASKCP8,JTC,1,7,0/2,,0/1,0/1,1/0,,0/1,,0/1,,0/1,,,Jan
ASKVP7,JTC,1,6,1/1,,,0/1,,0/1,,0/1,,0/1,,0/1,,
DDM-WWC,INHOUSE,1,1,0/1,,,1/0,,,,,,,,,,
SCTP-DDM,INHOUSE,1,1,0/1,,,1/0,,,,,,,,,,
ASKEWS,IP,1,2,0/1,,,,0/1,,,,1/0,,,,,
ASK7VB,JTC,1,5,0/1,,0/2,,0/1,,0/1,,1/0,,,,,Mar
DDM-DCC,INHOUSE,1,1,0/1,,,1/0,,,,,,,,,,
DDM-CCW,INHOUSE,1,1,0/1,,,1/0,,,,,,,,,,
DDM-GA,INHOUSE,1,1,0/1,,,1/0,,,,,,,,,,
ASKKNR,HOTEL,1,3,,0/1,0/1,,,,,0/1,,,,1/0,,
ASKRPW,IP,1,2,,1/0,,,,,0/1,,,,0/1,,,
SDDM-ADMS,HBL,1,0,,1/0,,,,,,,,,,,,
SCTP-SDDM,HBL,1,0,,1/0,,,,,,,,,,,,
DDM-FIM,INHOUSE,1,1,,0/1,,1/0,,,,,,,,,,
ASKBDF,JTC,1,0,,1/0,,,,,,,,,,,,
ASKGEC,IP,1,2,,1/0,,,,0/1,,,,0/1,,,,
DDM-WLCO,INHOUSE,1,1,,0/1,,1/0,,,,,,,,,,
ASKNLP,HOTEL,1,3,,0/1,0/1,,,,0/1,,,,,1/0,,
SDDM-ADA,HBL,1,0,,1/0,,,,,,,,,,,,
ASK7UP,HOTEL,1,4,,0/2,,,0/1,1/0,,,,0/1,,,,Feb
ASKMWA,JTC,1,4,,1/0,0/1,,0/1,0/1,,,,0/1,,,,
ASKCHP,HOTEL,1,4,0/1,0/1,,,0/2,,,,,1/0,,,,May
SDDM-ASMM,HBL,1,0,,1/0,,,,,,,,,,,,
ASKBDF,HOTEL,1,3,,0/2,,,,0/1,,,,1/0,,,,Feb
ASKHSR,HOTEL,1,4,,0/2,,,0/1,1/0,,,,,0/1,,,Feb
ASKSPC,OTHER,1,0,,1/0,,,,,,,,,,,,
SDDM-ADCM,HBL,1,0,,,1/0,,,,,,,,,,,
ASKPCL,HOTEL,1,3,0/1,,0/1,,,,1/0,,,0/1,,,,
ASK5LL,HOTEL,1,3,,,1/1,,,,0/1,,,,0/1,,,
SDDM-ASEO,HBL,1,0,,,1/0,,,,,,,,,,,
SDDM-ADMA,HBL,1,0,,,1/0,,,,,,,,,,,
ASKDPA,OTHER,1,4,,,0/2,,,1/0,,,0/1,,,0/1,,Mar
ASKSDT,HOTEL,1,3,,,0/2,,,,0/1,,,1/0,,,,Mar
SDDM-EM,HBL,1,0,,,1/0,,,,,,,,,,,
ASKYTM,IP,1,0,,,,1/0,,,,,,,,,,
NS-DDM,INHOUSE,1,0,,,,,1/0,,,,,,,,,
ASKINH-2DAY,INHOUSE,1,0,,,,,,1/0,,,,,,,,
ASK3KS,OTHER,1,0,,,,,,,1/0,,,,,,,
ASQDVS,OTHER,1,0,,,,,,,1/0,,,,,,,
ASKCMC,OTHER,1,0,,,,,,,1/0,,,,,,,
ASKBRT,JTC,1,3,,,0/1,0/1,,,,0/1,,,1/0,,,
ASQMEM,INHOUSE,1,3,1/1,,,,,,,0/1,,,0/1,,,
ASKBRT,INHOUSE,1,6,0/1,0/1,,,,,,0/1,,0/2,,1/1,,Oct
ASKBWE,JTC,1,3,0/1,,,1/0,0/1,,,0/1,,,,,,
ASKINH-1DAY,HBL,1,0,,,,,,,,1/0,,,,,,
ASKBRT,IP,1,5,0/1,0/1,,,1/0,,,,0/2,,0/1,,,Sep
ASKCAW,JTC,1,2,,0/1,,,,,,,1/0,,0/1,,,
ASK3KU,HOTEL,1,0,,,,,,,,,,1/0,,,,
ASKBDF,OTHER,1,0,,,,,,,,,,1/0,,,,
ASKCFH,HOTEL,1,4,,0/1,,1/0,,,,,,0/1,0/1,0/1,,
ASKINH-1DAY,JTC,1,0,,,,,,,,,,1/0,,,,
ASKWRM,OTHER,1,0,,,,,,,,,,,1/0,,,
ASKCSP,JTC,1,0,,,,,,,,,,,1/0,,,
ASKGAI,OTHER,1,0,,,,,,,,,,,1/0,,,
ASKMEN,HBL,1,0,,,,,,,,,,,,1/0,,
ASKMWA,IP,1,1,1/0,,,0/1,,,,,,,,,,
ASKINH-1DAY,HOTEL,1,0,1/0,,,,,,,,,,,,,
ASKINH-1/2DAY,OTHER,1,0,1/0,,,,,,,,,,,,,
ASKMEI,OTHER,1,0,,,1/0,,,,,,,,,,,
ASKTH8,IP,1,1,,,0/1,,1/0,,,,,,,,,
ASKINH-2DAY,IP,1,0,,,1/0,,,,,,,,,,,
ASKMPB,OTHER,1,0,,,1/0,,,,,,,,,,,
ASKMEA,OTHER,1,0,,,1/0,,,,,,,,,,,
ASKMPB,IP,1,1,,,0/1,,1/0,,,,,,,,,
ASKCP8,IP,1,1,,,0/1,,1/0,,,,,,,,,
ASKMOB,IP,1,0,,,,1/0,,,,,,,,,,
ASKINH-1/2DAY,HOTEL,1,0,,,,1/0,,,,,,,,,,
ASKMOA,IP,1,0,,,,1/0,,,,,,,,,,
ASKCP8,OTHER,1,0,,,,1/0,,,,,,,,,,
ASKINH-2DAY,HBL,1,0,,,,,1/0,,,,,,,,,
ASNMEA,JTC,1,0,,,,,1/0,,,,,,,,,
ASKBCG,HOTEL,1,0,,,,,1/0,,,,,,,,,
ASKEBS,HOTEL,0,5,0/2,,,,0/2,,,,,0/1,,,,Jan|May
ASKWUT,HOTEL,0,5,0/2,,,,0/2,,,,,0/1,,,,Jan|May
ASKMAA,INHOUSE,0,5,0/1,0/1,,,0/1,,,,0/1,,,0/1,,
ASKDCF,HOTEL,0,3,,0/1,,,,,0/1,,,,0/1,,,
SCTP-DIIO,IP,0,5,,0/2,0/1,,0/1,0/1,,,,,,,,Feb
DIIO-IIO,IP,0,8,,0/3,0/2,,0/2,0/1,,,,,,,,Feb|Mar|May
ASKEED,HOTEL,0,4,,0/1,0/1,,,0/1,,,,0/1,,,,
DDM-DMC,INHOUSE,0,1,,0/1,,,,,,,,,,,,
ASKMAA,JTC,0,4,,0/1,0/1,,,0/1,,,,0/1,,,,
DIIO-EAD,IP,0,8,,0/1,0/4,,0/2,0/1,,,,,,,,Mar|May
ASKBSE,HOTEL,0,4,,0/1,0/1,,,,0/1,,,,0/1,,,
ASKEDP,HOTEL,0,8,,0/2,,0/2,,0/1,,0/1,,0/1,,0/1,,Feb|Apr
ASKACM,HOTEL,0,3,,,0/1,,,,,0/1,,,,0/1,,
DIIO-IPO,IP,0,6,,,0/5,,,0/1,,,,,,,,Mar
DIIO-DRB,IP,0,6,,,0/1,0/4,,,0/1,,,,,,,Apr
ASKAPP,HOTEL,0,4,,,0/1,0/1,,,0/1,,,,0/1,,,
DIIO-ISC,IP,0,7,,,0/1,0/4,0/1,,0/1,,,,,,,Apr
DIIO-IPM,IP,0,6,,,0/1,0/2,0/2,,0/1,,,,,,,Apr|May
ASKMAS,HOTEL,0,4,,0/1,0/1,,,,0/1,,,,0/1,,,
DIIO-IAO,IP,0,6,,,,0/3,0/2,,0/1,,,,,,,Apr|May
ASKGEC,INHOUSE,0,3,,,,0/1,,,,0/1,,,,0/1,,
ASKWRM,INHOUSE,0,4,,,,0/2,,,,0/1,,,,0/1,,Apr
DIIO-ADI,IP,0,4,,,,0/1,0/2,,,0/1,,,,,,May
ASK3KT,HOTEL,0,1,,,,,,0/1,,,,,,,,
ASKYMW,HOTEL,0,2,,,,,,,0/1,,,0/1,,,,
ASKBWE,INHOUSE,0,6,0/1,0/1,,,,,,,0/1,0/1,0/1,0/1,,
ASKPB8,IP,0,2,,,,,0/1,,,,,,,0/1,,
ASKEWW,HOTEL,0,2,0/1,,,,0/1,,,,,,,,,
ASKMWB,IP,0,2,0/1,,,0/1,,,,,,,,,,
ASKCTL,HOTEL,0,2,0/1,,0/1,,,,,,,,,,,
ASKWRM,HOTEL,0,1,0/1,,,,,,,,,,,,,
ASKFF8,IP,0,2,,0/1,,0/1,,,,,,,,,,
ASKEWS,HOTEL,0,1,,0/1,,,,,,,,,,,,
ASKGEC,HOTEL,0,1,,0/1,,,,,,,,,,,,
ASECTN,HBL,0,2,,,0/1,,0/1,,,,,,,,,
ASKGV7,IP,0,1,,,0/1,,,,,,,,,,,
ASKDFA,JTC,0,2,,,0/1,,0/1,,,,,,,,,
ASKRPW,HOTEL,0,1,,,,0/1,,,,,,,,,,
ASKDFA,IP,0,1,,,,0/1,,,,,,,,,,
ASK7VB,IP,0,1,,,,,0/1,,,,,,,,,
ASKRTW,IP,0,1,,,,,0/1,,,,,,,,,
ASKDBI,IP,0,2,,,,,0/2,,,,,,,,,May
ASKMAB,IP,0,1,,,,,0/1,,,,,,,,,
ASKPQ8,IP,0,1,,,,,0/1,,,,,,,,,
ASKIPF,IP,0,1,,,,,0/1,,,,,,,,,
ASKIPF,JTC,0,1,,,,,0/1,,,,,,,,,
ASKMAA,IP,0,1,,,,,0/1,,,,,,,,,
ASKIHR,IP,0,1,,,,,0/1,,,,,,,,,
ASKIHR,JTC,0,1,,,,,0/1,,,,,,,,,
